state,x,y
Jammu and Kashmir,-83.0,202.0
Himachal Pradesh,-71.0,164.0
Punjab,-104.0,141.0
Uttarkhand,-40.0,130.0
Haryana,-88.0,114.0
Delhi,-78.0,104.0
Uttar Pradesh,-38.0,90.0
Rajasthan,-132.0,71.0
Gujarat,-172.0,17.0
Bihar,52.0,54.0
Jharkhand,44.0,13.0
West Bengal,84.0,10.0
Madhya Pradesh,-70.0,12.0
Chattisgarh,-5.0,-17.0
Odisha,23.0,-33.0
Maharashtra,-122.0,-51.0
Telangana,-57.0,-84.0
Andhra Pradesh,-61.0,-120.0
Karnataka,-116.0,-140.0
Goa,-137.0,-120.0
Kerala,-100.0,209.0
Tamil Nadu,-66.0,-200.0
Pondicherry,-46.0,-180.0
Sikkim,94.0,84.0
Arunachal Pradesh,174.0,104.0
Assam,144.0,67.0
Nagaland,183.0,66.0
Manipur,174.0,41.0
Mizoram,158.0,19.0
Tripura,137.0,22.0
Meghalaya,131.0,51.0
